%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fuel_level
1509044739226698785,27941,1509044739226605986,,35.4348945618
1509044739326701709,27942,1509044739326617041,,35.4348945618
1509044739426852650,27943,1509044739426725930,,35.4348945618
1509044739526929519,27944,1509044739526810416,,35.4348945618
1509044739626777316,27945,1509044739626661022,,35.4348945618
1509044739726792894,27946,1509044739726673227,,35.4348945618
1509044739826830594,27947,1509044739826702482,,35.4348945618
1509044739926816395,27948,1509044739926702200,,35.4348945618
1509044740026907832,27949,1509044740026723409,,35.4348945618
1509044740127268372,27950,1509044740127152761,,35.4348945618
1509044740226874821,27951,1509044740226745894,,35.4348945618
1509044740326885393,27952,1509044740326753638,,35.4348945618
1509044740427180079,27953,1509044740426772663,,35.4348945618
1509044740526919295,27954,1509044740526784744,,35.4348945618
1509044740626952000,27955,1509044740626797520,,35.4348945618
1509044740726936910,27956,1509044740726812974,,35.4348945618
1509044740826944149,27957,1509044740826827235,,35.4348945618
1509044740927196309,27958,1509044740926860960,,35.4348945618
1509044741026953363,27959,1509044741026848187,,35.4348945618
1509044741127376500,27960,1509044741127279864,,35.4348945618
1509044741227101987,27961,1509044741226873286,,35.4348945618
1509044741327020553,27962,1509044741326909704,,35.4348945618
1509044741427021617,27963,1509044741426905756,,35.4348945618
1509044741527031377,27964,1509044741526911578,,35.4348945618
1509044741627108252,27965,1509044741626941973,,35.4348945618
1509044741727051122,27966,1509044741726961033,,35.4348945618
1509044741827087835,27967,1509044741826955455,,35.4348945618
1509044741927053315,27968,1509044741926965858,,35.4348945618
1509044742027166326,27969,1509044742026983259,,35.4348945618
1509044742127532732,27970,1509044742127413449,,35.4348945618
1509044742229205531,27971,1509044742227056313,,35.4348945618
1509044742327212163,27972,1509044742327026315,,35.4348945618
1509044742427224859,27973,1509044742427030660,,35.4348945618
1509044742527184669,27974,1509044742527047132,,35.4348945618
1509044742627192718,27975,1509044742627063098,,35.4348945618
1509044742727192153,27976,1509044742727073246,,35.4348945618
1509044742827263974,27977,1509044742827104110,,35.4348945618
1509044742927178982,27978,1509044742927099505,,35.4348945618
1509044743027207767,27979,1509044743027112998,,35.4348945618
1509044743127711796,27980,1509044743127545213,,35.4348945618
1509044743227520361,27981,1509044743227142972,,35.4348945618
1509044743327240528,27982,1509044743327152610,,35.4348945618
1509044743426845194,27983,1509044743426755479,,35.4348945618
1509044743527326407,27984,1509044743527260678,,35.4348945618
1509044743626778495,27985,1509044743626695867,,35.4348945618
1509044743727725860,27986,1509044743727099696,,35.4348945618
1509044743826828808,27987,1509044743826723229,,35.4348945618
1509044743926829137,27988,1509044743926665360,,35.4348945618
1509044744026848624,27989,1509044744026677539,,35.4348945618
1509044744127528478,27990,1509044744127339990,,35.4348945618
1509044744226876513,27991,1509044744226705952,,35.4348945618
1509044744326854444,27992,1509044744326717735,,35.4348945618
1509044744426897398,27993,1509044744426729390,,35.4348945618
1509044744526989772,27994,1509044744526742759,,35.4348945618
1509044744626908789,27995,1509044744626796565,,35.4348945618
1509044744726855111,27996,1509044744726760389,,35.4348945618
1509044744827462972,27997,1509044744827357692,,35.4348945618
1509044744927450246,27998,1509044744927367249,,35.4348945618
1509044745026942096,27999,1509044745026800300,,35.4348945618
1509044745129867733,28000,1509044745129491852,,35.4348945618
1509044745227000054,28001,1509044745226856020,,35.4348945618
1509044745327542878,28002,1509044745327445680,,35.4348945618
1509044745427573892,28003,1509044745427439060,,35.4348945618
1509044745526966677,28004,1509044745526866890,,35.4348945618
1509044745627017202,28005,1509044745626886303,,35.4348945618
1509044745727581244,28006,1509044745727473710,,35.4348945618
1509044745827620722,28007,1509044745827495274,,35.4348945618
1509044745927074538,28008,1509044745926948674,,35.4348945618
1509044746027066736,28009,1509044746026936301,,35.4348945618
1509044746127649675,28010,1509044746127556888,,35.4348945618
1509044746227042409,28011,1509044746226958617,,35.4348945618
1509044746327121456,28012,1509044746326999405,,35.4348945618
1509044746427235629,28013,1509044746427070997,,35.4348945618
1509044746527186459,28014,1509044746527083089,,35.4348945618
1509044746627356455,28015,1509044746627027771,,35.4348945618
1509044746727805802,28016,1509044746727061084,,35.4348945618
1509044746827343367,28017,1509044746827097776,,35.4348945618
1509044746927180292,28018,1509044746927059913,,35.4348945618
1509044747027226278,28019,1509044747027067205,,35.4348945618
1509044747127820931,28020,1509044747127664838,,35.4348945618
1509044747227215344,28021,1509044747227101220,,35.4348945618
1509044747327627244,28022,1509044747327141101,,35.4348945618
1509044747427235460,28023,1509044747427125913,,35.4348945618
1509044747527423085,28024,1509044747527140125,,35.4348945618
1509044747627312122,28025,1509044747627151953,,35.4348945618
1509044747727861814,28026,1509044747727743924,,35.4348945618
1509044747829127164,28027,1509044747828761267,,35.4348945618
1509044747929867431,28028,1509044747929767623,,35.4348945618
1509044748029338110,28029,1509044748029209857,,35.4348945618
