%time,field.data
1509044759127982568,-1
1509044759192666298,-1
1509044759245871960,-1
1509044759297272956,-1
1509044759363118749,-1
1509044759428151562,-1
1509044759494810554,-1
1509044759562177119,-1
1509044759627793650,-1
1509044759696447436,-1
1509044759762464632,-1
1509044759828548876,-1
1509044759897092833,-1
1509044759960934420,-1
1509044760052806269,-1
1509044760105472737,-1
1509044760162272003,-1
1509044760228962690,-1
1509044760294857289,-1
1509044760362723487,-1
1509044760430021232,-1
1509044760496980946,-1
1509044760563016211,-1
1509044760630299143,-1
1509044760697220672,-1
1509044760762770987,-1
1509044760831256239,-1
1509044760905661419,-1
1509044760964083111,-1
1509044761029820065,-1
1509044761096781113,-1
1509044761163610536,-1
1509044761229032069,-1
1509044761338925287,-1
1509044761395874373,-1
1509044761451447552,-1
