%time,field.header.seq,field.header.stamp,field.header.frame_id,field.state.gear,field.cmd.gear,field.reject.value,field.override,field.fault_bus
1509044745720669968,55908,1509044745720556284,,4,0,0,0,0
1509044745770823096,55909,1509044745770688260,,4,0,0,0,0
1509044745820726611,55910,1509044745820567590,,4,0,0,0,0
1509044745871182962,55911,1509044745871029171,,4,0,0,0,0
1509044745921041592,55912,1509044745920930360,,4,0,0,0,0
1509044745971215919,55913,1509044745971048188,,4,0,0,0,0
1509044746021052537,55914,1509044746020933664,,4,0,0,0,0
1509044746071060708,55915,1509044746070943531,,4,0,0,0,0
1509044746121633972,55916,1509044746121525290,,4,0,0,0,0
1509044746172056364,55917,1509044746171601925,,4,0,0,0,0
1509044746221638259,55918,1509044746221538942,,4,0,0,0,0
1509044746271633931,55919,1509044746271547495,,4,0,0,0,0
1509044746321658557,55920,1509044746321556493,,4,0,0,0,0
1509044746371951581,55921,1509044746371764365,,4,0,0,0,0
1509044746421720712,55922,1509044746421571153,,4,0,0,0,0
1509044746471737016,55923,1509044746471655809,,4,0,0,0,0
1509044746522127479,55924,1509044746522006539,,4,0,0,0,0
1509044746572219085,55925,1509044746572010158,,4,0,0,0,0
1509044746622112648,55926,1509044746622016911,,4,0,0,0,0
1509044746672102923,55927,1509044746672019256,,4,0,0,0,0
1509044746723409469,55928,1509044746722712846,,4,0,0,0,0
1509044746774175797,55929,1509044746772732525,,4,0,0,0,0
1509044746822776993,55930,1509044746822625859,,4,0,0,0,0
1509044746872704653,55931,1509044746872624448,,4,0,0,0,0
1509044746922717599,55932,1509044746922633584,,4,0,0,0,0
1509044746972723123,55933,1509044746972638982,,4,0,0,0,0
1509044747022790449,55934,1509044747022669915,,4,0,0,0,0
1509044747072833114,55935,1509044747072736574,,4,0,0,0,0
1509044747122914328,55936,1509044747122686413,,4,0,0,0,0
1509044747173278304,55937,1509044747173087483,,4,0,0,0,0
1509044747223211682,55938,1509044747223117349,,4,0,0,0,0
1509044747273229603,55939,1509044747273100097,,4,0,0,0,0
1509044747324955493,55940,1509044747324180530,,4,0,0,0,0
1509044747374403415,55941,1509044747373711370,,4,0,0,0,0
1509044747424891465,55942,1509044747423804272,,4,0,0,0,0
1509044747473478446,55943,1509044747473349461,,4,0,0,0,0
1509044747524267215,55944,1509044747523870955,,4,0,0,0,0
1509044747573912084,55945,1509044747573724378,,4,0,0,0,0
1509044747624137496,55946,1509044747624001455,,4,0,0,0,0
1509044747673926250,55947,1509044747673742671,,4,0,0,0,0
1509044747723939476,55948,1509044747723824975,,4,0,0,0,0
1509044747773860599,55949,1509044747773776807,,4,0,0,0,0
1509044747823948500,55950,1509044747823839819,,4,0,0,0,0
1509044747874355037,55951,1509044747874231353,,4,0,0,0,0
1509044747924370585,55952,1509044747924210332,,4,0,0,0,0
1509044747974418203,55953,1509044747974221295,,4,0,0,0,0
1509044748024275798,55954,1509044748024200228,,4,0,0,0,0
1509044748074911453,55955,1509044748074814385,,4,0,0,0,0
1509044748124885556,55956,1509044748124793857,,4,0,0,0,0
1509044748175555041,55957,1509044748175046903,,4,0,0,0,0
1509044748225642109,55958,1509044748224849535,,4,0,0,0,0
1509044748275104433,55959,1509044748274904400,,4,0,0,0,0
1509044748324897627,55960,1509044748324819960,,4,0,0,0,0
1509044748375058993,55961,1509044748374914385,,4,0,0,0,0
1509044748424949187,55962,1509044748424833836,,4,0,0,0,0
1509044748475433480,55963,1509044748475342502,,4,0,0,0,0
1509044748525356848,55964,1509044748525267355,,4,0,0,0,0
1509044748575392014,55965,1509044748575281390,,4,0,0,0,0
1509044748625603769,55966,1509044748625304831,,4,0,0,0,0
1509044748675365387,55967,1509044748675286624,,4,0,0,0,0
1509044748726005627,55968,1509044748725879423,,4,0,0,0,0
1509044748776016867,55969,1509044748775887299,,4,0,0,0,0
1509044748825988454,55970,1509044748825891682,,4,0,0,0,0
1509044748876080992,55971,1509044748875923200,,4,0,0,0,0
1509044748926016095,55972,1509044748925900962,,4,0,0,0,0
1509044748976178340,55973,1509044748975917845,,4,0,0,0,0
1509044749027254169,55974,1509044749025918095,,4,0,0,0,0
1509044749077459665,55975,1509044749076346765,,4,0,0,0,0
1509044749126451662,55976,1509044749126350664,,4,0,0,0,0
1509044749177119101,55977,1509044749176378569,,4,0,0,0,0
1509044749226566337,55978,1509044749226370778,,4,0,0,0,0
1509044749276499069,55979,1509044749276369779,,4,0,0,0,0
1509044749326917875,55980,1509044749326425709,,4,0,0,0,0
1509044749378238488,55981,1509044749377765909,,4,0,0,0,0
1509044749427170156,55982,1509044749426979295,,4,0,0,0,0
1509044749477278660,55983,1509044749476992634,,4,0,0,0,0
1509044749527495059,55984,1509044749527066479,,4,0,0,0,0
1509044749577633596,55985,1509044749577373037,,4,0,0,0,0
1509044749627156534,55986,1509044749627077611,,4,0,0,0,0
1509044749677093994,55987,1509044749677004360,,4,0,0,0,0
1509044749727616806,55988,1509044749727523053,,4,0,0,0,0
1509044749778202715,55989,1509044749777449331,,4,0,0,0,0
1509044749827687685,55990,1509044749827539068,,4,0,0,0,0
1509044749877578467,55991,1509044749877451419,,4,0,0,0,0
1509044749928138153,55992,1509044749928036262,,4,0,0,0,0
1509044749977860930,55993,1509044749977559791,,4,0,0,0,0
1509044750028249011,55994,1509044750028132014,,4,0,0,0,0
1509044750078207478,55995,1509044750078056603,,4,0,0,0,0
1509044750128272390,55996,1509044750128158408,,4,0,0,0,0
1509044750178625868,55997,1509044750178109985,,4,0,0,0,0
1509044750228830522,55998,1509044750228258919,,4,0,0,0,0
1509044750278241360,55999,1509044750278086563,,4,0,0,0,0
1509044750328728235,56000,1509044750328588458,,4,0,0,0,0
1509044750378843382,56001,1509044750378533040,,4,0,0,0,0
1509044750428750521,56002,1509044750428625569,,4,0,0,0,0
1509044750478674265,56003,1509044750478551655,,4,0,0,0,0
1509044750528766020,56004,1509044750528617261,,4,0,0,0,0
1509044750578867827,56005,1509044750578563346,,4,0,0,0,0
1509044750629342661,56006,1509044750629241509,,4,0,0,0,0
1509044750679292282,56007,1509044750679162446,,4,0,0,0,0
1509044750729297132,56008,1509044750729224880,,4,0,0,0,0
1509044750780227436,56009,1509044750779167114,,4,0,0,0,0
1509044750829528561,56010,1509044750829242352,,4,0,0,0,0
1509044750879317921,56011,1509044750879169487,,4,0,0,0,0
1509044750929345362,56012,1509044750929250923,,4,0,0,0,0
1509044750979392561,56013,1509044750979206794,,4,0,0,0,0
1509044751029827553,56014,1509044751029683854,,4,0,0,0,0
1509044751079725194,56015,1509044751079614103,,4,0,0,0,0
1509044751129809545,56016,1509044751129702648,,4,0,0,0,0
1509044751179888525,56017,1509044751179660627,,4,0,0,0,0
1509044751229895940,56018,1509044751229783287,,4,0,0,0,0
1509044751280336958,56019,1509044751280246985,,4,0,0,0,0
1509044751330389337,56020,1509044751330304164,,4,0,0,0,0
1509044751380868601,56021,1509044751380574091,,4,0,0,0,0
1509044751430424080,56022,1509044751430318383,,4,0,0,0,0
1509044751480399316,56023,1509044751480245252,,4,0,0,0,0
1509044751530413889,56024,1509044751530331011,,4,0,0,0,0
1509044751581173591,56025,1509044751580682690,,4,0,0,0,0
1509044751630455020,56026,1509044751630343171,,4,0,0,0,0
1509044751680783493,56027,1509044751680689841,,4,0,0,0,0
1509044751730960277,56028,1509044751730790536,,4,0,0,0,0
1509044751780824006,56029,1509044751780711902,,4,0,0,0,0
1509044751831406055,56030,1509044751830791774,,4,0,0,0,0
1509044751880809672,56031,1509044751880718749,,4,0,0,0,0
1509044751931469022,56032,1509044751931387778,,4,0,0,0,0
1509044751982063634,56033,1509044751981354088,,4,0,0,0,0
1509044752031492801,56034,1509044752031398702,,4,0,0,0,0
1509044752081417008,56035,1509044752081324294,,4,0,0,0,0
1509044752131505273,56036,1509044752131413602,,4,0,0,0,0
1509044752181524310,56037,1509044752181368620,,4,0,0,0,0
1509044752231537116,56038,1509044752231454600,,4,0,0,0,0
1509044752281491206,56039,1509044752281354803,,4,0,0,0,0
1509044752331567806,56040,1509044752331452516,,4,0,0,0,0
1509044752382361083,56041,1509044752381822878,,4,0,0,0,0
1509044752432055824,56042,1509044752431915686,,4,0,0,0,0
1509044752481972871,56043,1509044752481821862,,4,0,0,0,0
1509044752531961139,56044,1509044752531887137,,4,0,0,0,0
1509044752582575659,56045,1509044752582401531,,4,0,0,0,0
1509044752632569847,56046,1509044752632394742,,4,0,0,0,0
1509044752682555001,56047,1509044752682428571,,4,0,0,0,0
1509044752732553286,56048,1509044752732493655,,4,0,0,0,0
1509044752782538094,56049,1509044752782428371,,4,0,0,0,0
